,User,Search Term,Tweet Text,Compound Score,Positive,Neutral,Negative,Timestamp
52,pngoyanka,@bbcworld,RT @drybiswal: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglish @aa…,0.0,0.0,0.0,1.0,1590293143.0
53,pngoyanka,@bbcworld,RT @Saritat74543445: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEngli…,0.0,0.0,0.0,1.0,1590293142.0
54,pngoyanka,@bbcworld,RT @sulekhasingh14: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglis…,0.0,0.0,0.0,1.0,1590293139.0
55,888Wolfdog888,@bbcworld,"@BBCWorld Yea they were out to destroy small business from the start of this plandemic. 

Less than half a percent fatality rate and England's numbers were falsified on top.",-0.8689,0.048,0.283,0.668,1590293137.0
56,theKNIGHTGOLDEN,@bbcworld,@BBCWorld seriously do not care. people are dying. screw your money.,-0.5759,0.0,0.417,0.583,1590293137.0
57,pngoyanka,@bbcworld,@rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglish @aajtak @RahulGandhi Bapuji ko shighar riha kiya jaye !,0.0,0.0,0.0,1.0,1590293125.0
58,jinicat10,@bbcworld,RT @BBCWorld: Stan's Donuts: A farewell to a shop closed by coronavirus https://t.co/aCY4sJLQdq,0.0,0.0,0.0,1.0,1590293124.0
59,brollasuite,@bbcworld,RT @Piink_Eyee: There’s a grooming gang being covered up in my home of #BarrowinFurness. Police and local media are refusing to investigate…,-0.4019,0.0,0.114,0.886,1590293106.0
60,ECOWARRIORSS,@bbcworld,"RT @BrianMcHugh2011: A disaster waiting to happen.

@Greenpeace @wef @WWF
#KeepItInTheGround
@GretaThunberg @ExtinctionR @UNFCCC @Channel4N…",-0.6249,0.0,0.227,0.773,1590293102.0
61,boringfileclerk,@bbcworld,@BBCWorld Should we bail out Stan's Donuts?,0.0,0.0,0.0,1.0,1590293099.0
62,madquad10,@bbcworld,"RT @tercio_t4: Me ayudáis a difundir este video en ingles que corre por las redes hablando de las protestas en España?
@BBCWorld @CNN @CBSN…",0.0,0.0,0.0,1.0,1590293086.0
63,CdnforTrump2016,@bbcworld,"@c1tpyrc @Linda16425194 @BBCWorld If I was at risk id go on off hours to buy things or if I could, visit a Church, Id buy a p100 masks or full face respirator, Id see if I could get someone to go out for me, stay away from crowds, ask stores for specialized hours, contactless pickup etc..This is about FREEDOM.",0.5904,0.077,0.033,0.89,1590293079.0
64,UARH6,@bbcworld,@CNNnewsroom @washingtonpost @BBCWorld @AltNewsHindi @TheLallantop @gulf_news @alnassar_kw @LadyVelvet_HFQ @AlGhurair98 @PMOIndia @narendramodi @bihar_police @NitishKumar https://t.co/KXYrNfIgfj,0.0,0.0,0.0,1.0,1590293070.0
65,O2KING15,@bbcworld,"RT @O2KING15: @EauClairePD @ABCWorldNews
@cnnbrk
@foxnewsalert 
@ABC 
 @BBCNews 
@BBCWorld 
There are so many words to express how disheart…",0.0,0.0,0.0,1.0,1590293062.0
66,jmlp85,@bbcworld,"@MelpliusEli @Patrici54417503 @BBCWorld again u keep skipping my argumentations with conjectures and idealistic beliefs which r against everything you asked others to do ""facts"" so proof with facts your points because just saying if science doesn't know something it doesn't mean god exist doesn't help your point at all",-0.0701,0.053,0.077,0.87,1590293060.0
